Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.5719,Sun Jun 10 19:04:08 +0000 2018,0.239,0.761,0.0,"As the Poldarks look to rebuild their marriage, Cornwall struggles under Warleggan pressure. 

#Poldark | 9pm |… https://t.co/yPvJnKdRr9",0,@BBC
0.4588,Sun Jun 10 18:02:27 +0000 2018,0.0,0.88,0.12,Can we interest you in a little cockroach milk to go with your cereal? Because this could be the next big food fad.… https://t.co/Vk8TrTfYQr,1,@BBC
0.0,Sun Jun 10 17:03:05 +0000 2018,0.0,1.0,0.0,Emily Davison became a martyr to the suffragette cause after running in front of the king's horse at the Epsom Derb… https://t.co/ULpY95lcsi,2,@BBC
0.0,Sun Jun 10 16:02:05 +0000 2018,0.0,1.0,0.0,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,3,@BBC
0.6808,Sun Jun 10 15:22:00 +0000 2018,0.0,0.804,0.196,"RT @BBCOne: ""We are woman, we have loud voices and lightbulb hearts...
Our bodies are like miracles, we are proud of what we are.""

Celebra…",4,@BBC
0.7003,Sun Jun 10 15:19:47 +0000 2018,0.0,0.799,0.201,"RT @BBCOne: Women across the UK are marching together to create a living artwork, to mark 100 years since the first British women won the v…",5,@BBC
-0.25,Sun Jun 10 15:01:05 +0000 2018,0.236,0.61,0.154,"Is feminism actually just a war on men? @RachelParris has some thoughts... 😂
#TheMashReport https://t.co/t31I5bFWgn",6,@BBC
0.0,Sun Jun 10 14:38:18 +0000 2018,0.0,1.0,0.0,"RT @CBeebiesHQ: Would you consider an alternative to mainstream education? 

@BBCNews #SundayThoughts https://t.co/hwileHwd1K",7,@BBC
0.5719,Sun Jun 10 14:37:55 +0000 2018,0.0,0.861,0.139,"RT @BBCOne: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Hands up to Bake…",8,@BBC
-0.4215,Sun Jun 10 13:02:07 +0000 2018,0.256,0.6,0.144,"⚒🎬 @chrishemsworth returns as the hammer-wielding hero fighting a sinister race of Dark Elves...

Thor: The Dark Wo… https://t.co/PQJ6HnKDfI",9,@BBC
0.5719,Sun Jun 10 12:12:42 +0000 2018,0.0,0.861,0.139,"RT @bbcarts: 100 years after the Suffragettes won the right to vote, women will gather in the streets of Belfast, Cardiff, Edinburgh and Lo…",10,@BBC
0.0,Sun Jun 10 12:02:04 +0000 2018,0.0,1.0,0.0,"Kirsty Young presents live coverage of the processions across London, Edinburgh, Cardiff and Belfast to mark the ce… https://t.co/MMZLWLI5uG",11,@BBC
0.0,Sun Jun 10 10:58:07 +0000 2018,0.0,1.0,0.0,Can you believe these wonders are beneath UK waters? https://t.co/BJ3SEEIjDN,12,@BBC
-0.3818,Sun Jun 10 10:28:00 +0000 2018,0.12,0.88,0.0,"In 1913, Emily Wilding Davison made the ultimate sacrifice in the fight for women's right to vote.
#HearHer #Vote100 https://t.co/qr7UAIPtGr",13,@BBC
0.5719,Sun Jun 10 10:11:08 +0000 2018,0.0,0.861,0.139,RT @BBCTwo: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. So here's to Polly…,14,@BBC
-0.4588,Sun Jun 10 10:01:05 +0000 2018,0.227,0.625,0.148,"Learning to embrace that sinking, nagging feeling we get when we realise we have made the wrong choice. 
👉… https://t.co/HlxIqK5SHb",15,@BBC
0.0,Sun Jun 10 09:01:05 +0000 2018,0.0,1.0,0.0,How the suffragettes woke us up. https://t.co/WrXoMnNNIZ,16,@BBC
0.0,Sun Jun 10 08:01:04 +0000 2018,0.0,1.0,0.0,"❤️ The moment actor Maisie Sly, who's deaf, finds out she's going to meet the Queen!  https://t.co/0D0gJq0rgE",17,@BBC
0.9134,Sun Jun 10 07:03:02 +0000 2018,0.067,0.491,0.442,"This elderly man was struggling slowly across a busy road in China - but luckily, help was at hand! https://t.co/xfCtAOkL6F",18,@BBC
0.0,Sat Jun 09 20:04:00 +0000 2018,0.0,1.0,0.0,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",19,@BBC
0.3612,Sat Jun 09 19:02:05 +0000 2018,0.0,0.878,0.122,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",20,@BBC
0.0,Sat Jun 09 18:04:03 +0000 2018,0.0,1.0,0.0,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",21,@BBC
0.5719,Sat Jun 09 17:01:05 +0000 2018,0.0,0.829,0.171,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",22,@BBC
0.4019,Sat Jun 09 16:04:03 +0000 2018,0.156,0.623,0.222,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",23,@BBC
-0.7783,Sat Jun 09 15:02:02 +0000 2018,0.327,0.673,0.0,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,24,@BBC
0.7717,Sat Jun 09 14:04:02 +0000 2018,0.0,0.472,0.528,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,25,@BBC
0.3612,Sat Jun 09 13:24:03 +0000 2018,0.0,0.815,0.185,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",26,@BBC
0.0,Sat Jun 09 13:03:06 +0000 2018,0.0,1.0,0.0,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",27,@BBC
0.0,Sat Jun 09 12:23:25 +0000 2018,0.0,1.0,0.0,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,28,@BBC
0.9317,Sat Jun 09 12:03:00 +0000 2018,0.0,0.441,0.559,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,29,@BBC
0.0,Sat Jun 09 11:10:52 +0000 2018,0.0,1.0,0.0,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,30,@BBC
-0.7269,Sat Jun 09 11:04:08 +0000 2018,0.305,0.588,0.106,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",31,@BBC
0.0,Sat Jun 09 10:10:06 +0000 2018,0.0,1.0,0.0,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",32,@BBC
-0.6808,Sat Jun 09 10:09:40 +0000 2018,0.219,0.73,0.051,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",33,@BBC
0.8658,Sat Jun 09 08:55:42 +0000 2018,0.0,0.7,0.3,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",34,@BBC
0.6239,Sat Jun 09 08:54:21 +0000 2018,0.0,0.806,0.194,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",35,@BBC
0.0,Sat Jun 09 08:53:14 +0000 2018,0.0,1.0,0.0,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,36,@BBC
0.7579,Sat Jun 09 08:52:54 +0000 2018,0.0,0.787,0.213,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",37,@BBC
0.8122,Sat Jun 09 08:52:46 +0000 2018,0.0,0.697,0.303,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,38,@BBC
0.5859,Sat Jun 09 08:52:33 +0000 2018,0.0,0.853,0.147,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,39,@BBC
0.0,Sat Jun 09 08:50:01 +0000 2018,0.0,1.0,0.0,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",40,@BBC
0.4215,Sat Jun 09 08:32:05 +0000 2018,0.0,0.877,0.123,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",41,@BBC
0.7783,Sat Jun 09 07:28:04 +0000 2018,0.097,0.51,0.393,"The charming and beautiful films of Lotte Reiniger, forgotten pioneer of animation. https://t.co/T2N7eLjHKh",42,@BBC
0.0,Fri Jun 08 20:04:03 +0000 2018,0.0,1.0,0.0,"🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the B… https://t.co/l8FI1nOTWY",43,@BBC
0.7809,Fri Jun 08 18:09:05 +0000 2018,0.0,0.617,0.383,💃🕺 Why does dancing with our friends make us feel so good? https://t.co/iokI919nJp,44,@BBC
0.5574,Fri Jun 08 17:03:04 +0000 2018,0.0,0.841,0.159,🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the… https://t.co/TN5XaD9I0k,45,@BBC
0.0,Fri Jun 08 16:02:00 +0000 2018,0.0,1.0,0.0,Leaving your responsibilities behind on a Friday like... 💁👋 #FridayFeeling @taylorswift13 https://t.co/wvmpzlOSel,46,@BBC
0.4019,Fri Jun 08 13:03:05 +0000 2018,0.0,0.829,0.171,"📺 From drama Succession to the return of @PoldarkTV, here are the TV shows worth watching in June. 
👉… https://t.co/VFdghjNGmK",47,@BBC
0.784,Fri Jun 08 12:28:10 +0000 2018,0.0,0.734,0.266,RT @bbcouch: We can announce today that Britain's Got Talent winner @LostVoiceGuy will be hosting our Storytelling Live event at @edfringe!…,48,@BBC
0.34,Fri Jun 08 12:24:37 +0000 2018,0.0,0.854,0.146,"RT @BBCEarth: We all have a part to play in protecting #OurBluePlanet.
#WorldOceansDay 💙 https://t.co/1TM73iYPmA",49,@BBC
-0.8126,Fri Jun 08 12:19:25 +0000 2018,0.27,0.73,0.0,"💔 US celebrity chef and television personality Anthony Bourdain has been found dead in his hotel room, aged 61.
👉… https://t.co/55jBxSrdUS",50,@BBC
0.0,Fri Jun 08 12:04:03 +0000 2018,0.0,1.0,0.0,The unexpected pioneering women of electronic music. https://t.co/ih6gK1Sz0y,51,@BBC
-0.2263,Fri Jun 08 11:03:04 +0000 2018,0.106,0.894,0.0,"Forget hygge, a new Nordic lifestyle trend called 'päntsdrunk' is all about drinking in your underwear. 👙🍻… https://t.co/SBTQBZ5E5e",52,@BBC
0.2023,Fri Jun 08 10:52:51 +0000 2018,0.0,0.927,0.073,"RT @UKMoments: All-day Friday @BBC6Music will be playing an all-female playlist, spun by an all-woman DJ line up as part of the BBC's #Hear…",53,@BBC
0.0,Fri Jun 08 10:50:03 +0000 2018,0.0,1.0,0.0,"Pippa Middleton has confirmed she is expecting her first child with husband James Matthews. 
https://t.co/4SiziX5Tix https://t.co/bFobAI2hBp",54,@BBC
-0.3089,Fri Jun 08 09:01:04 +0000 2018,0.17,0.83,0.0,"'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",55,@BBC
0.4404,Fri Jun 08 08:46:14 +0000 2018,0.0,0.861,0.139,"RT @BBC6Music: This Friday, @St_Vincent takes over our Instagram (https://t.co/ui96YFYsuH) and offers some advice to improve your day. Here…",56,@BBC
0.5413,Fri Jun 08 08:01:07 +0000 2018,0.0,0.741,0.259,"These ducklings jumping from their nest are absolutely adorable. 🦆🐣❤️️
https://t.co/NlQijnt3hm",57,@BBC
-0.1603,Fri Jun 08 07:29:05 +0000 2018,0.075,0.925,0.0,"🏙 We often think of cities as the least healthy places to live. But what does the research say?
👉… https://t.co/gm4wRIFCQG",58,@BBC
0.0,Fri Jun 08 07:00:18 +0000 2018,0.0,1.0,0.0,"🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",59,@BBC
-0.3612,Thu Jun 07 19:04:09 +0000 2018,0.143,0.857,0.0,"#OurGirl's Michelle Keegan discovers her great-great-grandmother was a suffragette, fighting for women to get the v… https://t.co/sNDxrleuGi",60,@BBC
0.0,Thu Jun 07 18:00:21 +0000 2018,0.0,1.0,0.0,❤️️ Harry has been wearing a Spider-Man mask during his radiotherapy to give him 'superpowers'. https://t.co/rsyOrCzD7k,61,@BBC
0.7964,Thu Jun 07 16:02:03 +0000 2018,0.0,0.53,0.47,Turns out even Shakespearean acting legends love a good chinwag. https://t.co/0DO0vG4uZg,62,@BBC
0.4404,Thu Jun 07 15:36:48 +0000 2018,0.0,0.892,0.108,"RT @BBC6Music: 💪 Who do you hope to hear during our all-female #HearHer day from 5am-midnight on Friday?

Backstage in Belfast we asked @fi…",63,@BBC
0.8043,Thu Jun 07 15:32:24 +0000 2018,0.086,0.544,0.369,This elderly man was struggling slowly across a busy road - but help was at hand! https://t.co/xfCtAOkL6F,64,@BBC
-0.7906,Thu Jun 07 14:04:02 +0000 2018,0.259,0.741,0.0,"🐍 A Texan required 26 doses of anti-venom after he was bitten by the severed head of a rattlesnake he had killed.
👉… https://t.co/zdD1aO7POz",65,@BBC
-0.4588,Thu Jun 07 13:00:43 +0000 2018,0.138,0.862,0.0,RT @BBC_ARoadshow: 'We did it for all women' - 50 years after they walked out the Dagenham women say the fight for equal pay must go on #An…,66,@BBC
0.2263,Thu Jun 07 13:00:26 +0000 2018,0.0,0.921,0.079,"🎞🎬 From the Jurassic World sequel to an Oscar Wilde biopic, these films are worth making a trip to the cinema for t… https://t.co/PODFpM3UOq",67,@BBC
-0.5574,Thu Jun 07 12:01:05 +0000 2018,0.242,0.659,0.099,"👊💕 If you've ever been touched by cancer, Julie's message will be important. 
https://t.co/L7Ebn2c0Ed",68,@BBC
0.6531,Thu Jun 07 11:46:22 +0000 2018,0.052,0.733,0.215,"RT @BBCEarth: Are you obsessed with the ocean? 🌊
Do you go wild for whales? 🐋
Want to share your passion for presenting with the world?
Ent…",69,@BBC
0.7003,Thu Jun 07 11:01:05 +0000 2018,0.0,0.784,0.216,💕🐮 Cow cuddling is the new wellness trend coming to a field near you and it's guaranteed to put you in a good moooo… https://t.co/8DJNABgCFc,70,@BBC
0.0,Thu Jun 07 09:37:40 +0000 2018,0.0,1.0,0.0,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,71,@BBC
0.3612,Thu Jun 07 08:01:03 +0000 2018,0.0,0.828,0.172,What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,72,@BBC
0.3182,Thu Jun 07 07:28:01 +0000 2018,0.0,0.892,0.108,"The original illustrated map of The Hundred Acre Wood is expected to fetch between £100,000 - £150,000 when it goes… https://t.co/FVle3m5MCh",73,@BBC
0.5106,Thu Jun 07 07:01:05 +0000 2018,0.0,0.732,0.268,❤️🐶 Some heroes don't wear capes - they wear collars. https://t.co/0YF9EdnfL1,74,@BBC
0.0,Wed Jun 06 20:44:01 +0000 2018,0.0,1.0,0.0,"Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",75,@BBC
0.3818,Wed Jun 06 20:04:00 +0000 2018,0.0,0.86,0.14,Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,76,@BBC
0.0,Wed Jun 06 19:03:03 +0000 2018,0.0,1.0,0.0,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",77,@BBC
0.1779,Wed Jun 06 18:03:04 +0000 2018,0.122,0.718,0.16,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,78,@BBC
0.0,Wed Jun 06 17:02:09 +0000 2018,0.0,1.0,0.0,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",79,@BBC
0.0,Wed Jun 06 16:00:01 +0000 2018,0.0,1.0,0.0,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",80,@BBC
0.3182,Wed Jun 06 13:02:05 +0000 2018,0.0,0.892,0.108,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,81,@BBC
-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.153,0.847,0.0,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",82,@BBC
-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.236,0.764,0.0,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",83,@BBC
0.0,Wed Jun 06 11:02:02 +0000 2018,0.0,1.0,0.0,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",84,@BBC
0.0,Wed Jun 06 10:01:40 +0000 2018,0.0,1.0,0.0,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",85,@BBC
0.4215,Wed Jun 06 08:55:39 +0000 2018,0.0,0.833,0.167,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,86,@BBC
0.0,Wed Jun 06 08:55:07 +0000 2018,0.0,1.0,0.0,"RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",87,@BBC
0.2732,Wed Jun 06 08:02:01 +0000 2018,0.126,0.698,0.177,"When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",88,@BBC
-0.7579,Wed Jun 06 07:31:01 +0000 2018,0.281,0.667,0.053,"We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",89,@BBC
0.0,Wed Jun 06 07:04:04 +0000 2018,0.0,1.0,0.0,"📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",90,@BBC
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.137,0.863,0.0,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",91,@BBC
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.273,0.727,0.0,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",92,@BBC
0.0,Tue Jun 05 18:02:06 +0000 2018,0.0,1.0,0.0,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",93,@BBC
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.0,0.719,0.281,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,94,@BBC
-0.8126,Tue Jun 05 16:31:52 +0000 2018,0.27,0.73,0.0,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",95,@BBC
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.11,0.814,0.076,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,96,@BBC
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.0,0.84,0.16,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",97,@BBC
0.8122,Tue Jun 05 12:00:22 +0000 2018,0.09,0.519,0.391,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",98,@BBC
0.4019,Tue Jun 05 11:12:05 +0000 2018,0.0,0.863,0.137,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",99,@BBC
0.0,Sun Jun 10 22:01:25 +0000 2018,0.0,1.0,0.0,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",0,@CBS
0.4184,Sun Jun 10 15:00:01 +0000 2018,0.0,0.843,0.157,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,1,@CBS
0.68,Sat Jun 09 21:00:02 +0000 2018,0.0,0.763,0.237,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,2,@CBS
0.0,Sat Jun 09 16:00:00 +0000 2018,0.0,1.0,0.0,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,3,@CBS
0.296,Fri Jun 08 19:46:17 +0000 2018,0.0,0.82,0.18,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,4,@CBS
0.0,Fri Jun 08 15:00:03 +0000 2018,0.0,1.0,0.0,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,5,@CBS
0.9078,Fri Jun 08 13:58:15 +0000 2018,0.0,0.564,0.436,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",6,@CBS
0.3612,Thu Jun 07 17:03:26 +0000 2018,0.0,0.872,0.128,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",7,@CBS
0.2732,Wed Jun 06 21:00:24 +0000 2018,0.105,0.719,0.176,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,8,@CBS
0.3595,Wed Jun 06 00:08:30 +0000 2018,0.0,0.872,0.128,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",9,@CBS
-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.177,0.723,0.1,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",10,@CBS
0.4574,Tue Jun 05 22:12:28 +0000 2018,0.0,0.824,0.176,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,11,@CBS
0.5093,Tue Jun 05 19:00:02 +0000 2018,0.0,0.845,0.155,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,12,@CBS
0.0,Tue Jun 05 15:04:41 +0000 2018,0.0,1.0,0.0,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",13,@CBS
0.0,Mon Jun 04 17:00:00 +0000 2018,0.0,1.0,0.0,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",14,@CBS
-0.3903,Fri Jun 01 17:39:17 +0000 2018,0.131,0.807,0.062,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",15,@CBS
0.8442,Fri Jun 01 17:00:03 +0000 2018,0.0,0.664,0.336,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,16,@CBS
0.8932,Thu May 31 23:50:00 +0000 2018,0.0,0.545,0.455,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",17,@CBS
0.4926,Wed May 30 15:07:34 +0000 2018,0.0,0.849,0.151,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",18,@CBS
0.0,Mon May 28 21:00:01 +0000 2018,0.0,1.0,0.0,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",19,@CBS
0.0,Mon May 28 02:08:19 +0000 2018,0.0,1.0,0.0,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,20,@CBS
0.6239,Wed May 23 23:07:38 +0000 2018,0.0,0.797,0.203,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,21,@CBS
0.5859,Wed May 23 19:02:43 +0000 2018,0.0,0.826,0.174,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",22,@CBS
0.1139,Tue May 22 23:19:40 +0000 2018,0.0,0.917,0.083,Prepare yourself. The @NCIS_CBS season finale is unlike any other. Don't miss it TONIGHT at 8/7c. https://t.co/MOH6uiFc0C,23,@CBS
0.0,Tue May 22 20:02:22 +0000 2018,0.0,1.0,0.0,"Summer heats up with @CBSBigBrother, @SalvationCBS, and the brand-new competition series @TKOCBS. Find out when you… https://t.co/DxE7OnKs17",24,@CBS
0.0,Mon May 21 23:00:01 +0000 2018,0.0,1.0,0.0,Who’s going to be watching the season finale of @ManWithAPlan tonight? RT if you'll be tuning in at 8:30/7:30c! https://t.co/ARLRtVuGuc,25,@CBS
